"XML Template","XML Template",module,Amasty_Feed
Item,Item,module,Amasty_Feed
"XML Tag for Item (example for Google - item)","XML Tag for Item (example for Google - item)",module,Amasty_Feed
Footer,Footer,module,Amasty_Feed
Insert,Insert,module,Amasty_Feed
Update,Update,module,Amasty_Feed
"Feed View","Feed View",module,Amasty_Feed
"Setup Google Feed","Setup Google Feed",module,Amasty_Feed
"Custom Feed","Custom Feed",module,Amasty_Feed
"Add %1 Template","Add %1 Template",module,Amasty_Feed
Delete,Delete,module,Amasty_Feed
"Are you sure you want to do this?","Are you sure you want to do this?",module,Amasty_Feed
Reset,Reset,module,Amasty_Feed
Save,Save,module,Amasty_Feed
"Output Value","Output Value",module,Amasty_Feed
Attribute,Attribute,module,Amasty_Feed
"If you can't find the needed attribute in the list, please edit the needed attribute. 
                Open the 'Storefront Properties' tab in the attribute edit menu and set 
                'Use for Promo Rule Conditions' field to 'YES'.","If you can't find the needed attribute in the list, please edit the needed attribute. 
                Open the 'Storefront Properties' tab in the attribute edit menu and set 
                'Use for Promo Rule Conditions' field to 'YES'.",module,Amasty_Feed
Modification,Modification,module,Amasty_Feed
"Percentage (like +15%), or fixed value (like -20)","Percentage (like +15%), or fixed value (like -20)",module,Amasty_Feed
"Custom Text","Custom Text",module,Amasty_Feed
GoogleWizard,GoogleWizard,module,Amasty_Feed
"Setup Google Wizard","Setup Google Wizard",module,Amasty_Feed
Back,Back,module,Amasty_Feed
"Save and Start Generation","Save and Start Generation",module,Amasty_Feed
"Step 4: Basic Product Information","Step 4: Basic Product Information",module,Amasty_Feed
"Please select attributes to output in feed","Please select attributes to output in feed",module,Amasty_Feed
Images,Images,module,Amasty_Feed
Basic,Basic,module,Amasty_Feed
Product,Product,module,Amasty_Feed
Inventory,Inventory,module,Amasty_Feed
Category,Category,module,Amasty_Feed
Image,Image,module,Amasty_Feed
Gallery,Gallery,module,Amasty_Feed
Url,Url,module,Amasty_Feed
Other,Other,module,Amasty_Feed
SKU,SKU,module,Amasty_Feed
Websites,Websites,module,Amasty_Feed
Created,Created,module,Amasty_Feed
Updated,Updated,module,Amasty_Feed
Default,Default,module,Amasty_Feed
Thumbnail,Thumbnail,module,Amasty_Feed
"Base Image","Base Image",module,Amasty_Feed
"Small Image","Small Image",module,Amasty_Feed
"Image 1","Image 1",module,Amasty_Feed
"Image 2","Image 2",module,Amasty_Feed
"Image 3","Image 3",module,Amasty_Feed
"Image 4","Image 4",module,Amasty_Feed
"Image 5","Image 5",module,Amasty_Feed
"Final Price","Final Price",module,Amasty_Feed
"Min Price","Min Price",module,Amasty_Feed
"Max Price","Max Price",module,Amasty_Feed
"Price with TAX(VAT)","Price with TAX(VAT)",module,Amasty_Feed
"Final Price with TAX(VAT)","Final Price with TAX(VAT)",module,Amasty_Feed
"Min Price with TAX(VAT)","Min Price with TAX(VAT)",module,Amasty_Feed
